`d‰r @pron	ùd‰r	#pron	^NSm	~d‰r	\d er	_Vú4búP_Hleb-004r,20{006,07}.02	ø	:	³d=d³e=‰³r=r³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_Vú4búP_Hleb-004r,20{006,07}.03	ø	:	³i=i³s=s³t=t³
`ze @pr„p	ùze	#pr„p	^	~zuo	\zu	_Vú4búP_Hleb-004r,20{006,07}.04	ø	:	³z=z³u=uo³
`loben @swv	ùloben	#swv i	^DS	~lobenne	\lobene	_Vú4búP_Hleb-004r,20{006,07}.05@	ø	:	³l=l³o=o³b=b³e=e³n=n³e=e³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú4búP_Hleb-004r,21{006,07}.01	ø	:	³v=v³o=o³n=n³
`zwˆne @num	ùzwˆne	#num	^DP	~zwŠin	\zwe¡n	_Vú4búP_Hleb-004r,21{006,07}.02	ø	:	³z=z³w=w³ei=Ši³n=n³
`stck(e) @n	ùstck(e)	#n	^DP	~stck(e)n	\$tucken.(:)	_Vú4búP_Hleb-004r,21{006,07}.03	ø	:	³s=s³t=t³u=³ck=ck³e=e³n=n³
`d‰r @art	ùd‰r	#art	^NSn	~dazz	\d az	_Vú4búP_Hleb-004r,21{006,07}.04@	ø	:	³d=d³a=a³z=zz³
`ˆr(e)st @adj sup	ùˆr(e)st	#adj sup	^NSnw%	~ˆr<e>ste	\er$t e.,,	_Vú4búP_Hleb-004r,22{006,07}.01	ø	:	³e=ˆ³r=r³=e³s=s³t=t³e=e³
`wante @konj	ùwante	#konj	^	~wanne	\wanne	_Vú4búP_Hleb-004r,22{006,07}.02	ø	:	³w=w³a=a³nn=nn³e=e³
`‰r @pron	ù‰r	#pron	^NSm	~h‰r	\her	_Vú4búP_Hleb-004r,22{006,07}.03	ø	:	³h=h³e=‰³r=r³
`d‰r @art	ùd‰r	#art	^NSm	~d‰r	\d er	_Vú4búP_Hleb-004r,22{006,07}.04	ø	:	³d=d³e=‰³r=r³
`ˆr(e)st @adj sup	ùˆr(e)st	#adj sup	^NSmw%	~ˆr<e>ste	\er$t e	_Vú4búP_Hleb-004r,22{006,07}.05	ø	:	³e=ˆ³r=r³=e³s=s³t=t³e=e³
`laden @stv6	ùladen	#stv6 pV	^-	~ge-laden	\geladen 	_Vú4búP_Hleb-004r,22{006,08}.06	ø	:	³g=g³e=e³=-³l=l³a=a³d=d³e=e³n=n³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_Vú4búP_Hleb-004r,22{006,08}.07@	ø	:	³i=i³s=s³t=t³
`unter @pr„p	ùunter	#pr„p	^	~unter	\vnder	_Vú4búP_Hleb-004r,23{006,08}.01	ø	:	³v=u³n=n³d=t³e=e³r=r³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\d en	_Vú4búP_Hleb-004r,23{006,08}.02	ø	:	³d=d³e=‰³n=n³
`apostel(e) @m	ùapostel(e)	#m	^DP	~apost‚l(e)n	\apo$tolen.(.)	_Vú4búP_Hleb-004r,23{006,08}.03	ø	:	³a=a³p=p³o=o³s=s³t=t³o=‚³l=l³e=e³n=n³
`wiŠ @adv_int	ùwiŠ	#adv_int	^	~wiŠ	\wie	_Vú4búP_Hleb-004r,23{006,08}.04	ø	:	³w=w³ie=iŠ³
`dise @pron	ùdise	#pron	^NSn%	~dizz	\diz	_Vú4búP_Hleb-004r,23{006,08}.05	ø	:	³d=d³i=i³z=z³
`zuo @adv	ùzuo/>+komen	#adv	^	~zuo	\zu*1	_Vú4búP_Hleb-004r,23{006,08}.06	ø	:	³z=z³u=uo³
`komen @stv4	ùkomen/zuo>+	#stv4	^3SVI	~quam	\qua\-*2,,	_Vú4búP_Hleb-004r,23{006,08}.07@	ø	:	³qu=qu³a=a³\-=m³
`d‰r @pron	ùd‰r	#pron	^ASn+	~dazz	\d az	_Vú4búP_Hleb-004r,24{006,08}.01	ø	:	³d=d³a=a³z=z³
`mŠrken @swv	ùmŠrken	#swv	^2PGB	~mŠrkent	\merckent.,,	_Vú4búP_Hleb-004r,24{006,08}.02	ø	:	³m=m³e=Š³r=r³ck=k³e=e³n=n³t=t³
`wante @konj	ùwante	#konj	^	~wanne	\wanne	_Vú4búP_Hleb-004r,24{006,09}.03	ø	:	³w=w³a=a³nn=nn³e=e³
`d‰r @art	ùd‰r	#art	^NPm	~diŠ	\d ie	_Vú4búP_Hleb-004r,24{006,09}.04	ø	:	³d=d³ie=iŠ³
`ˆwangeliste @m	ùˆwangeliste	#m	^NP	~ˆwangelisten	\ewange=li$ten	_Vú4búP_Hleb-004r,24{006,09}.05@	ø	:	³e=ˆ³w=w³a=a³n=n³g=g³e=e³l=l³i=i³s=s³t=t³e=e³n=n³
`schrŒben @stv1a	ùschrŒben	#stv1a	^3PG	~schrŒben	\$chriben	_Vú4búP_Hleb-004r,25{006,09}.01	ø	:	³sch=sch³r=r³i=Œ³b=b³e=e³n=n³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú4búP_Hleb-004r,25{006,09}.02	ø	:	³v=v³o=o³n=n³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d er	_Vú4búP_Hleb-004r,25{006,09}.03	ø	:	³d=d³e=‰³r=r³
`ge-burt @f<u>	ùge-burt	#f<u>	^DS	~ge-burt	\geburt	_Vú4búP_Hleb-004r,25{006,09}.04	ø	:	³g=g³e=e³=-³b=b³u=u³r=r³t=t³
`unser @pron_poss	ùunser	#pron_poss	^GSm	~unser<e>s	\vn$er s	_Vú4búP_Hleb-004r,25{006,09}.05@	ø	:	³v=u³n=n³s=s³e=e³r=r³=e³s=s³
`hˆrre @m	ùhˆrre	#m	^GS	~hˆrren	\herren	_Vú4búP_Hleb-004v,01{006,09}.01	ø	:	³h=h³e=ˆ³rr=rr³e=e³n=n³
`wan @adv/konj	ùwan	#adv	^	~wan	\wan	_Vú4búP_Hleb-004v,01{006,10}.02	ø	:	³w=w³a=a³n=n³
`–f @pr„p	ù–f	#pr„p	^	~–f	\vf	_Vú4búP_Hleb-004v,01{006,10}.03	ø	:	³v=–³f=f³
`zwŠl(i)v @num	ùzwŠl(i)v	#num	^0APn	~zwŠl<i>f	\zwelf	_Vú4búP_Hleb-004v,01{006,10}.04	ø	:	³z=z³w=w³e=Š³l=l³=i³f=f³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\iar.(;)	_Vú4búP_Hleb-004v,01{006,10}.05	ø	:	³i=j³a=ƒ³r=r³
`dƒr @adv	ùdƒr/+nƒh	#adv	^	~dƒ	\do	_Vú4búP_Hleb-004v,01{006,10}.06	ø	:	³d=d³o=ƒ³
`nƒh @adv	ùnƒh/dƒr+	#adv	^	~nƒh	\nach,,	_Vú4búP_Hleb-004v,01{006,10}.07	ø	:	³n=n³a=ƒ³ch=h³
`s“ @adv/konj	ùs“	#adv	^	~s“	\$o	_Vú4búP_Hleb-004v,01{006,10}.08@	ø	:	³s=s³o=“³
`swŒgen @stv1a	ùswŒgen	#stv1a	^3PG	~swŒgen	\$w¡gen	_Vú4búP_Hleb-004v,02{006,10}.01	ø	:	³s=s³w=w³i=Œ³g=g³e=e³n=n³
`‰r @pron	ù‰r	#pron	^NPm	~si	\$i	_Vú4búP_Hleb-004v,02{006,10}.02	ø	:	³s=s³i=i³
`aht-z‰hen @num	ùaht-z‰hen	#num	^0APn	~aht-zˆ{‰he}n	\achtzen	_Vú4búP_Hleb-004v,02{006,10}.03	ø	:	³a=a³ch=h³t=t³=-³z=z³e=‰he³n=n³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\iar.(.)	_Vú4búP_Hleb-004v,02{006,10}.04	ø	:	³i=j³a=ƒ³r=r³
`aber @adv/konj	ùaber	#adv	^	~aber	\aber	_Vú4búP_Hleb-004v,02{006,10}.05	ø	:	³a=a³b=b³e=e³r=r³
`d“ @adv/konj	ùd“	#konj	^	~d“	\do	_Vú4búP_Hleb-004v,02{006,10}.06	ø	:	³d=d³o=“³
`unser @pron_poss	ùunser	#pron_poss	^0NSm	~unser	\vn$er	_Vú4búP_Hleb-004v,02{006,10}.07@	ø	:	³v=u³n=n³s=s³e=e³r=r³
`hˆrre @m	ùhˆrre	#m	^NS	~hˆrre	\herre	_Vú4búP_Hleb-004v,03{006,11}.01	ø	:	³h=h³e=ˆ³rr=rr³e=e³
`w‰sen @stv5	ùw‰sen	#stv5	^3SVI	~was	\waz	_Vú4búP_Hleb-004v,03{006,11}.02	ø	:	³w=w³a=a³z=s³
`drŒ-zig @num	ùdrŒ-zig	#num	^0APn	~drŒ-zig	\drizzig	_Vú4búP_Hleb-004v,03{006,11}.03	ø	:	³d=d³r=r³i=Œ³=-³zz=z³i=i³g=g³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\iar	_Vú4búP_Hleb-004v,03{006,11}.04	ø	:	³i=j³a=ƒ³r=r³
`alt @adj	ùalt	#adj	^-	~alt	\alt 	_Vú4búP_Hleb-004v,03{006,11}.05	ø	:	³a=a³l=l³t=t³
`unte @konj	ùunte	#konj	^	~unte	\vn\-	_Vú4búP_Hleb-004v,03{006,11}.06	ø	:	³v=u³n=n³\-=te³
